id,title,imageSrc,url,cookTime,carbohydrates,fat,protein,calories,like,dislike
2046,"Sheet Pan Chicken, Green Beans & Potatoes",https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/2046-diabetic-sheet-pan-Chicken-Green-Beans-Potatoes_DaVita_040821_2954132080.jpg,https://www.diabetesfoodhub.org/recipes/sheet-pan-chicken-green-beans-potatoes.html?home-category_id=20,30 min,19.0,17.0,25.0,330.0,109.0,11.0
202,Creamy Chicken Apple Salad,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/202-creamy-chicken-apple-salad_114160462_081118_28501105.jpg,https://www.diabetesfoodhub.org/recipes/creamy-chicken-apple-salad.html?home-category_id=20,,6.0,5.0,12.0,115.0,43.0,3.0
352,Mediterranean Roll-Ups,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/RecId_352_MedRollUps_588601440_060518_28501105.jpg,https://www.diabetesfoodhub.org/recipes/mediterranean-roll-ups.html?home-category_id=20,,29.0,6.0,7.0,187.0,36.0,12.0
3489,Slow Cooker Sweet and Spicy Turkey Meatballs,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Splenda_Recipes_SweetSpicyTurkeyMeatballs_28501105.jpg,https://www.diabetesfoodhub.org/recipes/slow-cooker-sweet-and-spicy-turkey-meatballs.html?home-category_id=20,4 hr 35 min,18.0,8.0,21.0,240.0,48.0,9.0
1929,Easy Egg Salad,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1929-easy-diabetic-egg-salad_AS_291791604_031920_28501105.jpg,https://www.diabetesfoodhub.org/recipes/easy-egg-salad.html?home-category_id=20,20 min,2.0,4.5,5.0,70.0,78.0,11.0
262,Good Morning Power Parfait ,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/262-diabetic-strawberry-yogurt-parfait_AdobeStock271103235_043021_28501105.jpg,https://www.diabetesfoodhub.org/recipes/good-morning-power-parfait.html?home-category_id=20,,30.0,1.0,6.0,142.0,51.0,9.0
2063,4-Ingredient Peanut Butter Cookies,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/2063-diabetic-4-ingredient-Peanut-Butter-Cookies_Splenda_042721_28501105.jpg,https://www.diabetesfoodhub.org/recipes/4-ingredient-peanut-butter-cookies.html?home-category_id=20,10 min,3.0,7.0,4.0,80.0,69.0,11.0
68,Balsamic Chicken with Mushrooms,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/068-diabetic-blasamic-chicken-mushrooms_AdobeStock191988897_021921_28501105.jpg,https://www.diabetesfoodhub.org/recipes/balsamic-chicken-with-mushrooms.html?home-category_id=20,,12.0,9.0,27.0,240.0,54.0,12.0
3498,Dark Chocolate Zucchini Bread Snack Squares ,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Dark%20Chocolate%20Zucchini%20Bread%20Snack%20Squares%20diabetic_7376454.png,https://www.diabetesfoodhub.org/recipes/dark-chocolate-zucchini-bread-snack-squares.html?home-category_id=20,40 min,16.0,5.0,3.0,110.0,35.0,11.0
1926,Easy Turkey Chili,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1926-easy-turkey-chili-diabetic_AS_295317171_040220_28501105.jpg,https://www.diabetesfoodhub.org/recipes/easy-turkey-chili.html?home-category_id=20,25 min,10.0,9.0,23.0,220.0,43.0,8.0
82,Bell Pepper Poppers,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/082-diabetic-bell-pepper-poppers_diabetes-cookbook_081618_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/bell-pepper-poppers.html?home-category_id=20,30 min,4.0,1.5,3.0,45.0,24.0,2.0
1995,Baked Parmesan Chicken,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1995-diabetic-Baked-Parmesan-Chicken_KDBH-bookazine_012821_28501105.jpg,https://www.diabetesfoodhub.org/recipes/baked-parmesan-chicken.html?home-category_id=20,18 min,6.0,8.0,27.0,210.0,47.0,3.0
371,Modern Tuna Noodle Casserole,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/371-Tuna-Casserole-Diabetic_177139227_041018_28501105.jpg,https://www.diabetesfoodhub.org/recipes/modern-tuna-noodle-casserole.html?home-category_id=20,40 min,42.0,4.0,13.0,250.0,30.0,7.0
1956,Easy Chicken and Vegetable Casserole,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1956-diabetic-chicken-rice-vegetable-casserole_Clean-and-simple_AdobeStock179950044_050120_28501105.jpg,https://www.diabetesfoodhub.org/recipes/easy-chicken-and-vegetable-casserole.html?home-category_id=20,30 min,23.0,7.0,27.0,260.0,51.0,7.0
513,Spinach and Mushroom Stuffed Chicken,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/513-diabetic-spinach-mushroom-stuffed-chicken_diabetes-cookbook_081618_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/spinach-and-mushroom-stuffed-chicken.html?home-category_id=20,,3.0,8.0,27.0,200.0,52.0,6.0
2102,5 Ingredient Blueberry Protein Muffins,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/5%20ingredient%20blueberry%20muffins%20diabetic_7376454.png,https://www.diabetesfoodhub.org/recipes/5-ingredient-blueberry-protein-muffins-a.html?home-category_id=20,20 min,14.0,7.0,5.0,140.0,34.0,10.0
58,Baked Cauliflower Puree,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/59-diabetic-baked-cauliflower_683880865_111418-2_3042667765.jpg,https://www.diabetesfoodhub.org/recipes/baked-cauliflower-puree.html?home-category_id=20,,5.0,4.5,4.0,70.0,36.0,8.0
641,Cheddar Cheese and Broccoli Soup,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/RecId_641_Cheddar%20Cheese%20and%20Broccoli%20Soup_DiabetesComfortFood_022518_544486295.jpg,https://www.diabetesfoodhub.org/recipes/cheddar-cheese-and-broccoli-soup.html?home-category_id=20,15 min,20.0,8.0,17.0,205.0,13.0,0.0
2066,Low Carb Apple Spice Muffins,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/2066-diabetic-low-carb-apple-spice-muffins_low-carb-brissette_050721_28501105.jpg,https://www.diabetesfoodhub.org/recipes/low-carb-apple-spice-muffins.html?home-category_id=20,25 min,9.0,16.0,7.0,190.0,22.0,12.0
3475,Peach & Cream Smoothie,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Splenda_Recipes_PeachesCreamSmoothie_28501105.jpg,https://www.diabetesfoodhub.org/recipes/peach-cream-smoothie.html?home-category_id=20,,19.0,5.0,9.0,140.0,64.0,13.0
960,Apple Cider Honey Red Cabbage,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/apple-cider-honey-red-cabbage-Nov15_2567585477.jpg,https://www.diabetesfoodhub.org/recipes/apple-cider-honey-red-cabbage.html?home-category_id=20,20 min,8.0,3.0,2.0,60.0,21.0,6.0
2061,Baked Teriyaki Chicken,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/2061-diabetic-Baked-Teriyaki-Chicken_Splenda_042721_28501105.jpg,https://www.diabetesfoodhub.org/recipes/baked-teriyaki-chicken.html?home-category_id=20,25 min,3.0,3.5,30.0,170.0,49.0,7.0
1961,Southwest Breakfast Quiche,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1961-diabetic-Southwest-Quiche_Magee_050120_28501105.jpg,https://www.diabetesfoodhub.org/recipes/southwest-breakfast-quiche.html?home-category_id=20,40 min,10.0,7.0,16.0,170.0,22.0,6.0
277,Grilled Chicken Caesar Kabobs,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/277-diabetic-grilled-chicken-caesar-kebabs_AdobeStock200139841_012221_28501105.jpg,https://www.diabetesfoodhub.org/recipes/grilled-chicken-caesar-kabobs.html?home-category_id=20,12 min,11.0,11.0,36.0,290.0,91.0,9.0
124,Budget-Friendly Herb Garlic Meatloaf,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/124-diabetic-budget-herb-garlic-meatloaf_AdobeStock171686203_121820_28501105.jpg,https://www.diabetesfoodhub.org/recipes/budget-friendly-herb-garlic-meatloaf.html?home-category_id=20,35 min,9.0,7.0,20.0,190.0,26.0,4.0
937,Chopped Mexican Salad with Lime,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/diabetic-chopped-mexican-salad-tex-mex-cookbook_080318_1021x779_28501105.jpg,https://www.diabetesfoodhub.org/recipes/chopped-mexican-salad-with-lime.html?home-category_id=20,,24.0,15.0,7.0,240.0,13.0,0.0
483,Scalloped Potatoes,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/483-scalloped-potatoes-diabetes_91824395_111418_3042667765.jpg,https://www.diabetesfoodhub.org/recipes/scalloped-potatoes.html?home-category_id=20,,29.0,2.5,6.0,160.0,18.0,0.0
3471,No Bake Protein Balls,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Splenda_Recipes_NoBakeProteinBalls_28501105.jpg,https://www.diabetesfoodhub.org/recipes/no-bake-protein-balls.html?home-category_id=20,,7.0,9.0,7.0,130.0,9.0,3.0
1896,Easy Broccoli and Shrimp Stir-Fry,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1896-diabetic-easy-broccoli-and-shrimp-stir-fry_CYP_DFMarApr20_021020_28501105.jpg,https://www.diabetesfoodhub.org/recipes/easy-broccoli-and-shrimp-stir-fry.html?home-category_id=20,10 min,10.0,11.0,34.0,270.0,83.0,16.0
565,Turkey Skillet Casserole,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/565-diabetic-turkey-skillet-casserole_delicious-one-pot-dishes_shutterstock1091292188_102519_28501105.jpg,https://www.diabetesfoodhub.org/recipes/turkey-skillet-casserole.html?home-category_id=20,10 min,51.0,13.0,56.0,540.0,17.0,1.0
259,Gluten-Free Parmesan Biscuits,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/259-diabetic-low-carb-gluten-free-biscuit_175503923_020119_28501105.jpg,https://www.diabetesfoodhub.org/recipes/gluten-free-parmesan-biscuits.html?home-category_id=20,,7.0,3.5,2.0,65.0,23.0,5.0
163,Chicken Lettuce Wraps,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/163-diabetic-chicken-lettuce-wraps_AdobeStock_63295605_030521_28501105.jpg,https://www.diabetesfoodhub.org/recipes/chicken-lettuce-wraps.html?home-category_id=20,,2.0,2.5,9.0,65.0,27.0,1.0
3416,Unstuffed Pepper Casserole,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Recipe%20Size_7376454.png,https://www.diabetesfoodhub.org/recipes/unstuffed-pepper-casserole.html?home-category_id=20,40 min,39.0,15.0,25.0,390.0,19.0,3.0
1010,Basic Tuscan Bean Soup,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/tuscan-bean-soup-Sep16_2567585477.jpg,https://www.diabetesfoodhub.org/recipes/basic-tuscan-bean-soup.html?home-category_id=20,28 min,22.0,3.0,7.0,140.0,17.0,2.0
1697,Oatmeal Pecan Pancakes,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/1697-diabetic-breakfast-Oatmeal-Pecan-Pancakes_Diabetes-Superfoods-Cookbook_010319_28501105.jpg,https://www.diabetesfoodhub.org/recipes/oatmeal-pecan-pancakes.html?home-category_id=20,15 min,13.0,7.0,5.0,130.0,48.0,11.0
3467,Radish Toasts with Goat Cheese & Chives,https://static.diabetesfoodhub.org/system/thumbs/system/images/recipes/Diabetic%20Radish%20Toast%20Diabetes%20Food%20Hub_7376454.png,https://www.diabetesfoodhub.org/recipes/radish-toasts-with-goat-cheese-chives.html?home-category_id=20,,19.0,7.0,11.0,180.0,10.0,8.0
